VideoCompletes,SocialLikes,SocialShares,conversion
159909,118,5,31
159684,118,5,155
162159,92,5,0
160892,88,4,35
160898,88,4,11
160898,77,4,0
172519,78,4,21
172043,78,4,65
172066,90,4,0
169737,90,4,78
169737,90,4,0
169772,101,4,0
183916,101,4,6
182817,100,4,82
182817,101,4,0
182247,101,4,146
184129,100,4,96
181192,83,4,0
178252,82,4,54
179250,82,4,1
179250,79,2,0
165261,79,2,258
169831,79,2,176
169849,92,2,0
124882,89,2,59
124281,89,2,0
124301,88,2,0
123661,88,5,163
122195,88,5,92
122195,87,3,0
121299,87,3,113
121869,87,3,184
123516,127,3,0
124390,127,3,57
128458,127,3,10
128458,127,3,0
116753,129,3,63
115536,129,3,117
115554,128,6,0
160397,128,6,83
160397,128,6,0
160386,119,6,0
146574,119,6,234
146679,119,6,101
146679,123,7,0
147196,123,7,138
143113,123,7,295
146368,121,7,0
145796,130,7,196
148996,130,7,1
148996,135,7,0
153703,135,7,140
153269,135,7,123
158417,118,7,0
209021,119,7,48
212179,119,7,0
212112,125,7,0
214907,126,4,183
214907,126,4,40
214968,122,4,0
219676,124,4,169
231394,124,4,183
233866,88,4,0
232890,88,4,102
229025,88,4,1
229025,95,4,0
230862,92,4,337
230842,93,4,86
236783,84,1,2
264176,85,1,64
264176,85,1,3
264569,85,1,0
265832,85,1,236
265725,85,1,136
265767,81,0,0
265689,81,0,173
266689,81,0,103
269234,83,0,0
273774,75,0,79
270560,75,0,9
270560,77,0,0
268919,78,0,84
274869,80,0,111
282570,78,0,0
319593,79,0,152
317235,79,0,15
317201,72,0,0
311446,72,0,265
312397,74,0,36
313824,79,7,0
313301,78,7,72
300772,78,7,120
302828,79,7,0
306860,80,7,65
306651,80,7,3
307494,87,7,0
325828,90,7,153
326835,89,7,115
330847,85,7,0
364341,85,7,40
364341,85,7,0
364480,98,7,0
366173,100,7,132
366173,100,7,43
370673,101,7,0
371847,101,7,101
372281,101,7,113
377773,99,7,0
373545,98,7,167
374008,98,7,29
374008,99,7,0
372869,99,7,118
363654,98,7,135
369051,108,7,2
341203,106,7,41
340407,106,7,0
345369,106,7,0
347673,107,7,211
351786,105,7,92
351917,99,0,0
349427,98,0,211
349318,98,0,70
345614,96,0,10
342552,95,0,178
343917,95,0,34
343074,82,0,2
323223,79,0,238
324929,79,0,26
317911,88,0,0
261972,87,0,61
261993,87,0,10
263122,78,0,0
267909,76,0,360
270086,76,0,156
266302,79,0,0
264724,79,0,113
263972,79,0,107
255949,68,0,0
257968,73,0,200
257004,75,0,5
257004,73,0,0
262754,77,1,321
261883,76,1,117
247354,82,4,0
273805,82,4,212
273801,82,4,4
271346,87,4,0
273720,86,4,211
268733,86,4,43
268034,89,4,0
275100,89,4,166
275485,89,4,93
282396,92,10,0
284537,92,10,300
283257,92,10,2
283257,89,11,0
284164,92,11,240
282864,92,11,126
287620,106,11,0
302896,106,11,102
302875,106,11,24
304787,101,11,0
298545,101,11,188
297367,101,11,81
298035,98,12,0
297717,98,12,229
297092,98,12,70
300308,116,14,2
297885,111,14,121
296846,111,14,4
296846,106,14,0
291167,101,13,242
292331,101,13,47
290635,97,10,4
265263,97,10,131
265348,97,10,0
265599,94,10,0
262532,93,10,219
262705,93,10,61
262727,94,10,0
256391,94,10,88
257437,94,10,200
260074,115,6,0
258840,115,6,63
261511,115,6,7
261511,118,8,0
259965,115,8,225
258552,115,8,45
253725,99,8,4
302186,99,8,120
302186,99,8,1
