VideoCompletes,SocialLikes,SocialShares,CTR,conversion
5235059.0,2390.0,42.0,0.25563858793332966,1399
5500057.0,2441.0,42.0,0.2530138526240048,1127
5828587.0,2468.0,43.0,0.2506662123415819,1011
6139910.0,2458.0,44.0,0.24738831739702025,1170
6397668.0,2410.0,45.0,0.2423784257382558,1755
6654332.0,2381.0,42.0,0.23852276814469803,1398
6930748.0,2376.0,42.0,0.2343942661458845,1647
7210763.0,2362.0,42.0,0.23062788091957565,1421
7474927.0,2425.0,44.0,0.22719680783956633,1028
7743213.0,2410.0,45.0,0.22355822754435956,1099
8026245.0,2320.0,39.0,0.2184238886842033,1410
8267293.0,2201.0,37.0,0.21283330346113166,1400
8570907.0,2132.0,40.0,0.20655683301858857,1348
8855785.0,2056.0,45.0,0.19937514522006966,1351
9161666.0,2035.0,48.0,0.19297534804392208,1469
9221956.0,2016.0,52.0,0.19087042735302123,895
9228061.0,1998.0,50.0,0.18901855666828293,992
9264881.0,1978.0,49.0,0.18666592267070597,1378
9158892.0,1958.0,53.0,0.1847696296756291,1383
8973069.0,1941.0,53.0,0.1861240919527537,1009
8832629.0,1970.0,62.0,0.18712931143585637,1304
8732328.0,1956.0,62.0,0.18749948049177872,1436
8611004.0,1920.0,61.0,0.18691935681459743,1156
8486564.0,1921.0,61.0,0.1864383864759692,921
8391528.0,1912.0,57.0,0.18556268535968726,1004
8267762.0,1899.0,54.0,0.1844263775745671,1276
8201856.0,1895.0,59.0,0.1841886702513595,1518
8127914.0,1893.0,58.0,0.18392441690813316,1704
