VideoCompletes,SocialLikes,SocialShares,CTR,conversion,AudienceType,AdDigitalChannel
1069835.0,28.0,4.0,0.23274578905066956,113,Audience Type 4,Programmatic Display
1057156.0,27.0,4.0,0.22958522620471428,115,Audience Type 4,Programmatic Display
1063440.0,33.0,1.0,0.2253217904974731,43,Audience Type 4,Programmatic Display
1065804.0,34.0,1.0,0.22189034533084656,85,Audience Type 4,Programmatic Display
1142227.0,36.0,1.0,0.21931435366572255,43,Audience Type 4,Programmatic Display
1205054.0,41.0,1.0,0.21586036726038457,44,Audience Type 4,Programmatic Display
1254009.0,44.0,1.0,0.21463730545343548,16,Audience Type 4,Programmatic Display
1246183.0,40.0,1.0,0.21216427422765857,85,Audience Type 4,Programmatic Display
1298712.0,39.0,1.0,0.20848541617951308,58,Audience Type 4,Programmatic Display
1335701.0,39.0,1.0,0.20442852460487987,15,Audience Type 4,Programmatic Display
1361288.0,30.0,0.0,0.20059662567816908,51,Audience Type 4,Programmatic Display
1392377.0,32.0,0.0,0.19829271151408406,96,Audience Type 4,Programmatic Display
1455519.0,33.0,0.0,0.19545015853801248,30,Audience Type 4,Programmatic Display
1493444.0,33.0,0.0,0.19256108404974767,29,Audience Type 4,Programmatic Display
1462992.0,38.0,0.0,0.19030748984052961,79,Audience Type 4,Programmatic Display
1546763.0,40.0,0.0,0.185440378148451,51,Audience Type 4,Programmatic Display
1661558.0,41.0,0.0,0.17966166398971242,27,Audience Type 4,Programmatic Display
1751560.0,42.0,0.0,0.17452538506161785,76,Audience Type 4,Programmatic Display
1858748.0,48.0,0.0,0.1701938836061286,83,Audience Type 4,Programmatic Display
1957546.0,50.0,0.0,0.16564004813845218,68,Audience Type 4,Programmatic Display
2094549.0,52.0,0.0,0.162359622551063,64,Audience Type 4,Programmatic Display
2180114.0,55.0,0.0,0.1599165837190997,52,Audience Type 4,Programmatic Display
2273549.0,63.0,0.0,0.1544669474181572,62,Audience Type 4,Programmatic Display
2235771.0,63.0,0.0,0.1530172947781682,0,Audience Type 4,Programmatic Display
2205783.0,63.0,0.0,0.1529840275014103,4,Audience Type 4,Programmatic Display
2183222.0,63.0,0.0,0.15410171316716328,11,Audience Type 4,Programmatic Display
2155731.0,63.0,0.0,0.15415453035468868,0,Audience Type 4,Programmatic Display
2133566.0,63.0,0.0,0.1517487380855137,8,Audience Type 4,Programmatic Display
2123455.0,63.0,0.0,0.14911008124251296,0,Audience Type 4,Programmatic Display
