VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
817495,6,0,113,4,Programmatic Display
667595,8,0,93,4,Programmatic Display
671368,6,0,65,4,Programmatic Display
730881,3,0,81,4,Programmatic Display
715667,3,0,112,4,Programmatic Display
755029,3,0,178,4,Programmatic Display
795632,0,0,108,4,Programmatic Display
4731,0,0,63,1,Search
7080,3,0,238,1,Search
9165,3,0,234,1,Search
9165,3,0,108,1,Search
7651,3,0,130,1,Search
8359,3,0,189,1,Search
6064,0,0,119,1,Search
6430,0,0,110,1,Search
7382,0,0,217,1,Search
4412,0,0,119,1,Search
4017,0,0,184,1,Search
3961,0,0,117,1,Search
1510,0,0,90,1,Search
558,0,0,158,1,Search
323,0,0,194,1,Search
0,0,0,128,1,Search
177,0,0,193,1,Search
185,2,0,239,1,Search
1065,2,0,179,1,Search
1630,2,0,240,1,Search
10024,2,0,106,1,Search
11493,7,0,135,1,Search
12031,5,0,146,1,Search
11754,5,0,203,1,Search
12758,5,0,93,1,Search
4364,5,0,152,1,Search
2718,0,0,355,1,Search
3348,0,0,166,1,Search
2745,0,0,285,1,Search
1414,0,0,191,1,Search
4384,1,0,103,1,Search
4384,1,0,136,1,Search
3208,1,0,97,1,Search
3220,1,0,2,1,Search
4184,1,0,30,1,Search
2458,0,0,31,1,Search
2458,0,0,52,1,Search
4149,0,0,124,1,Search
4385,3,0,112,1,Search
3184,3,0,13,1,Search
1948,3,0,52,1,Search
2792,3,0,129,1,Search
1383,3,0,59,1,Search
2532,0,0,51,1,Search
2983,0,0,52,1,Search
3510,0,0,68,1,Search
4002,0,0,82,1,Search
6706,0,0,85,1,Search
5606,0,0,37,1,Search
6365,0,0,61,1,Search
8486,0,0,108,1,Search
12524,0,0,62,1,Search
11080,0,0,50,1,Search
19297,0,0,41,1,Search
18495,0,0,64,1,Search
15839,9,0,27,1,Search
11171,9,0,38,1,Search
9723,9,0,31,1,Search
1209,9,0,64,1,Search
808,9,0,43,1,Search
808,0,0,133,1,Search
1272,2,0,123,1,Search
1187,2,0,75,1,Search
1429,4,0,128,1,Search
3722,4,0,176,1,Search
4144,4,0,160,1,Search
7725,2,0,116,1,Search
8866,2,0,130,1,Search
9308,0,0,75,1,Search
8774,0,0,97,1,Search
8822,0,0,81,1,Search
4071,0,0,89,1,Search
7616,0,0,66,1,Search
7044,1,0,66,1,Search
8122,1,0,66,1,Search
7666,3,0,117,1,Search
8902,5,0,172,1,Search
4207,5,0,124,1,Search
5084,4,0,53,1,Search
2792,4,0,142,1,Search
5544,2,0,77,1,Search
4375,0,0,248,1,Search
6508,0,0,193,1,Search
6094,0,0,135,1,Search
7742,1,0,169,1,Search
5326,1,0,155,1,Search
9342,1,0,96,1,Search
8129,1,0,184,1,Search
7554,1,0,295,1,Search
17991,0,0,183,1,Search
18641,0,0,103,1,Search
14667,0,0,120,1,Search
15181,0,0,113,1,Search
15181,0,0,70,1,Search
3225,0,0,107,1,Search
2610,0,0,93,1,Search
2558,0,0,70,1,Search
2555,0,0,200,1,Search
7701,0,0,150,1,Search
7309,0,0,99,1,Search
11698,0,0,84,1,Search
19085,1,0,213,1,Search
17662,1,0,54,1,Search
12516,1,0,52,1,Search
12236,1,0,49,1,Search
7462,1,0,57,1,Search
2367,0,0,226,1,Search
3227,0,0,71,1,Search
4478,0,0,45,1,Search
5362,0,0,94,1,Search
6662,0,0,156,1,Search
13758,1,0,209,1,Search
18422,2,0,74,1,Search
17172,2,0,194,1,Search
25566,2,0,69,1,Search
27344,3,0,206,1,Search
23751,2,0,191,1,Search
25074,1,0,354,1,Search
25227,2,0,274,1,Search
27304,2,0,256,1,Search
28597,2,0,280,1,Search
24091,4,0,290,1,Search
29376,4,0,262,1,Search
33890,3,0,294,1,Search
25685,3,0,196,1,Search
23067,2,0,228,1,Search
24268,0,0,104,1,Search
12132,0,0,87,1,Search
23640,0,0,141,1,Search
23696,2,0,86,1,Search
21946,2,0,90,1,Search
19413,2,0,159,1,Search
19500,2,0,74,1,Search
3445,4,0,79,1,Search
272,3,0,156,1,Search
269,3,0,92,1,Search
7188,3,0,66,1,Search
7497,3,0,88,1,Search
7376,1,0,51,1,Search
24082,0,0,141,1,Search
25200,1,0,31,1,Search
22284,1,0,45,1,Search
23678,1,0,24,1,Search
24847,1,0,143,1,Search
9378,1,0,96,1,Search
9503,2,0,145,1,Search
9481,2,0,23,1,Search
9377,2,0,49,1,Search
17162,2,0,3,1,Search
15882,2,0,108,1,Search
15040,0,0,34,1,Search
13034,0,0,14,1,Search
15516,0,0,24,1,Search
6887,0,0,1,1,Search
8095,0,0,26,1,Search
11091,3,0,129,1,Search
12073,3,0,159,1,Search
8618,3,0,116,1,Search
10188,3,0,78,1,Search
15312,3,0,52,1,Search
11916,1,0,34,1,Search
11433,2,0,105,1,Search
11782,2,0,143,1,Search
11331,2,0,180,1,Search
8869,2,0,26,1,Search
9745,1,0,68,1,Search
7910,0,0,60,1,Search
8788,2,0,140,1,Search
7347,2,0,88,1,Search
3483,2,0,174,1,Search
2987,2,0,163,1,Search
4693,2,0,117,1,Search
3358,0,0,101,1,Search
6794,0,0,147,1,Search
7444,0,0,150,1,Search
10795,2,0,62,1,Search
9161,2,0,131,1,Search
12398,2,0,122,1,Search
8959,2,0,98,1,Search
11068,2,0,153,1,Search
9025,2,0,100,1,Search
8830,2,0,46,1,Search
5538,3,0,80,1,Search
6027,3,0,213,1,Search
3265,3,0,80,1,Search
3956,1,0,155,1,Search
4845,1,0,310,1,Search
4412,0,0,206,1,Search
4441,0,0,131,1,Search
4442,1,0,248,1,Search
2174,1,0,167,1,Search
6762,1,0,159,1,Search
10237,1,0,167,1,Search
12540,1,0,150,1,Search
17019,0,0,266,1,Search
18005,0,0,346,1,Search
16310,1,0,239,1,Search
13967,3,0,147,1,Search
11735,3,0,286,1,Search
7404,3,0,166,1,Search
7818,3,0,246,1,Search
8263,2,0,320,1,Search
8255,0,0,332,1,Search
11087,0,0,304,1,Search
12006,0,0,400,1,Search
15975,0,0,351,1,Search
11619,0,0,174,1,Search
16382,3,0,140,1,Search
12961,3,0,138,1,Search
12760,4,0,306,1,Search
8858,6,0,67,1,Search
8457,6,0,99,1,Search
9110,3,0,157,1,Search
11763,3,0,50,1,Search
14193,2,0,80,1,Search
13156,7,0,109,1,Search
13598,8,0,58,1,Search
6937,8,0,40,1,Search
5516,10,0,58,1,Search
3826,10,0,94,1,Search
10547,3,0,41,1,Search
10677,2,0,95,1,Search
0,0,0,8,2,Search
0,0,0,7,2,Search
0,0,0,61,2,Search
1148,2,0,26,2,Search
6823,2,0,63,2,Search
11956,2,0,75,2,Search
12515,2,0,36,2,Search
12519,2,0,105,2,Search
13937,0,0,99,2,Search
8262,0,0,32,2,Search
3129,0,0,18,2,Search
2570,0,0,31,2,Search
2566,0,0,16,2,Search
2,0,0,13,2,Search
2,0,0,0,2,Search
2,0,0,23,2,Search
494,0,0,2,2,Search
2344,0,0,44,2,Search
2342,0,0,27,2,Search
2416,1,0,18,2,Search
2416,1,0,6,2,Search
4718,5,0,26,2,Search
3305,5,0,4,2,Search
3452,5,0,1,2,Search
6891,4,0,0,2,Search
8713,4,0,1,2,Search
11175,0,0,35,2,Search
10738,0,0,0,2,Search
10591,0,0,1,2,Search
7594,0,0,18,2,Search
6535,0,0,19,2,Search
1645,0,0,9,2,Search
1649,1,0,0,2,Search
2597,1,0,12,2,Search
2081,1,0,0,2,Search
1318,1,0,8,2,Search
2998,1,0,0,2,Search
3054,0,0,7,2,Search
4001,0,0,3,2,Search
4017,0,0,1,2,Search
4253,0,0,3,2,Search
2209,0,0,2,2,Search
2149,0,0,6,2,Search
