VideoCompletes,SocialLikes,SocialShares,conversion,CampaignID,AdDigitalChannel
45665,18,0,172,1,Search
42679,18,0,124,1,Search
43371,18,0,53,1,Search
42713,18,0,142,1,Search
42823,18,0,77,1,Search
37516,18,0,248,1,Search
38107,18,0,193,1,Search
30168,18,0,135,1,Search
31960,19,0,169,1,Search
32310,10,0,155,1,Search
35687,10,0,96,1,Search
36513,10,0,184,1,Search
36513,10,0,295,1,Search
49143,10,0,183,1,Search
50143,10,0,103,1,Search
49082,8,0,120,1,Search
50507,8,0,113,1,Search
50265,6,0,70,1,Search
48646,6,0,107,1,Search
48609,6,0,93,1,Search
43915,6,0,70,1,Search
44196,6,0,200,1,Search
48658,6,0,150,1,Search
47181,6,0,99,1,Search
51485,6,0,84,1,Search
58929,7,0,213,1,Search
54242,7,0,54,1,Search
54130,6,0,52,1,Search
51295,6,0,49,1,Search
51281,4,0,57,1,Search
52394,2,0,226,1,Search
53262,2,0,71,1,Search
53524,2,0,45,1,Search
53865,2,0,94,1,Search
52399,2,0,156,1,Search
61777,3,0,209,1,Search
65176,4,0,74,1,Search
64602,4,0,194,1,Search
71689,3,0,69,1,Search
74417,4,0,206,1,Search
76186,4,0,191,1,Search
82121,4,0,354,1,Search
82275,5,0,274,1,Search
81002,5,0,256,1,Search
84373,6,0,280,1,Search
85610,8,0,290,1,Search
96316,8,0,262,1,Search
100984,8,0,294,1,Search
103462,8,0,196,1,Search
104830,8,0,228,1,Search
107320,8,0,104,1,Search
105893,8,0,87,1,Search
116923,8,0,141,1,Search
119849,10,0,86,1,Search
115078,10,0,90,1,Search
107648,9,0,159,1,Search
107731,9,0,74,1,Search
107852,11,0,79,1,Search
107885,12,0,156,1,Search
107885,12,0,92,1,Search
112469,12,0,66,1,Search
112001,12,0,88,1,Search
110750,12,0,51,1,Search
126605,12,0,141,1,Search
126423,13,0,31,1,Search
120995,12,0,45,1,Search
117257,11,0,24,1,Search
118425,11,0,143,1,Search
110417,11,0,96,1,Search
108582,12,0,145,1,Search
106725,12,0,23,1,Search
101560,12,0,49,1,Search
110360,11,0,3,1,Search
98995,11,0,108,1,Search
95025,10,0,34,1,Search
95668,8,0,14,1,Search
87700,8,0,24,1,Search
83357,8,0,1,1,Search
81405,8,0,26,1,Search
83049,11,0,129,1,Search
83473,11,0,159,1,Search
84186,11,0,116,1,Search
69905,11,0,78,1,Search
73021,9,0,52,1,Search
73019,10,0,34,1,Search
75493,11,0,105,1,Search
76468,11,0,143,1,Search
77791,9,0,180,1,Search
81618,8,0,26,1,Search
82495,8,0,68,1,Search
76215,8,0,60,1,Search
77759,10,0,140,1,Search
77762,10,0,88,1,Search
61019,10,0,174,1,Search
60282,9,0,163,1,Search
58624,9,0,117,1,Search
57439,9,0,101,1,Search
59709,9,0,147,1,Search
59085,9,0,150,1,Search
61574,9,0,62,1,Search
58304,9,0,131,1,Search
60460,9,0,122,1,Search
51506,9,0,98,1,Search
54271,9,0,153,1,Search
55559,11,0,100,1,Search
54100,11,0,46,1,Search
50482,12,0,80,1,Search
50646,12,0,213,1,Search
49441,12,0,80,1,Search
48424,9,0,155,1,Search
46872,9,0,310,1,Search
46276,9,0,206,1,Search
44899,9,0,131,1,Search
38571,10,0,248,1,Search
38682,9,0,167,1,Search
42201,8,0,159,1,Search
44731,8,0,167,1,Search
46108,8,0,150,1,Search
46721,8,0,266,1,Search
46942,8,0,346,1,Search
50601,9,0,239,1,Search
49910,9,0,147,1,Search
50496,9,0,286,1,Search
50642,9,0,166,1,Search
51773,9,0,246,1,Search
54171,9,0,320,1,Search
54807,9,0,332,1,Search
54789,9,0,304,1,Search
55204,9,0,400,1,Search
56953,7,0,351,1,Search
56629,7,0,174,1,Search
58791,10,0,140,1,Search
58791,10,0,138,1,Search
56896,11,0,306,1,Search
56786,11,0,67,1,Search
56256,11,0,99,1,Search
62363,10,0,157,1,Search
64527,10,0,50,1,Search
67824,10,0,80,1,Search
65986,17,0,109,1,Search
65009,18,0,58,1,Search
64888,18,0,40,1,Search
65602,20,0,58,1,Search
67208,19,0,94,1,Search
74359,19,0,41,1,Search
68924,19,0,95,1,Search
26216,7,0,1,2,Search
31472,7,0,35,2,Search
31472,7,0,0,2,Search
31472,7,0,1,2,Search
31988,7,0,18,2,Search
32751,7,0,19,2,Search
33117,7,0,9,2,Search
33121,8,0,0,2,Search
32921,6,0,12,2,Search
27246,6,0,0,2,Search
22113,6,0,8,2,Search
23600,6,0,0,2,Search
23656,6,0,7,2,Search
22985,6,0,3,2,Search
23001,6,0,1,2,Search
23237,6,0,3,2,Search
23239,6,0,2,2,Search
23239,6,0,6,2,Search
23237,6,1,101,2,Search
23237,6,1,26,2,Search
23996,6,1,1,2,Search
23504,6,1,9,2,Search
21654,6,1,2,2,Search
21656,6,1,0,2,Search
21591,5,1,1,2,Search
21591,5,1,4,2,Search
19986,1,1,1,2,Search
20924,1,1,7,2,Search
20781,1,1,39,2,Search
17817,1,1,12,2,Search
15998,1,1,3,2,Search
11102,2,1,0,2,Search
11102,2,1,0,2,Search
16512,2,1,6,2,Search
16137,2,1,8,2,Search
15377,3,1,5,2,Search
15022,3,1,26,2,Search
15018,2,1,4,2,Search
14070,2,1,1,2,Search
14339,2,1,13,2,Search
17534,2,1,3,2,Search
15488,2,1,122,2,Search
15428,2,1,20,2,Search
13533,2,1,62,2,Search
16650,2,1,3,2,Search
17725,2,1,20,2,Search
17723,2,1,12,2,Search
22312,2,1,2,2,Search
22312,2,0,0,2,Search
22319,2,0,3,2,Search
21560,2,0,0,2,Search
21572,2,0,11,2,Search
21572,2,0,0,2,Search
22414,2,0,3,2,Search
22537,2,0,8,2,Search
23238,2,0,8,2,Search
24927,2,0,12,2,Search
23575,2,0,27,2,Search
23571,2,0,2,2,Search
23578,2,0,0,2,Search
23581,2,0,11,2,Search
24775,1,0,1,2,Search
28849,1,0,10,2,Search
28193,1,0,1,2,Search
28261,1,0,1,2,Search
29798,0,0,9,2,Search
29787,0,0,3,2,Search
31790,0,0,29,2,Search
33155,0,0,34,2,Search
33925,2,0,5,2,Search
30815,2,0,2,2,Search
30815,4,0,4,2,Search
33571,4,0,7,2,Search
34483,4,0,2,2,Search
33079,4,0,3,2,Search
31769,4,0,5,2,Search
32301,5,0,9,2,Search
32975,5,0,1,2,Search
36216,5,0,9,2,Search
37619,7,1,7,2,Search
37622,7,1,4,2,Search
39456,7,1,75,2,Search
39456,7,1,5,2,Search
38612,7,1,0,2,Search
38480,7,1,0,2,Search
38978,7,1,9,2,Search
37136,9,1,16,2,Search
37847,9,1,0,2,Search
37984,9,1,89,2,Search
37428,9,1,14,2,Search
37434,9,1,37,2,Search
35881,9,1,40,2,Search
36050,11,1,9,2,Search
33451,11,1,4,2,Search
33362,11,1,17,2,Search
36882,13,3,3,2,Search
36882,13,3,88,2,Search
34879,13,3,76,2,Search
38959,13,3,5,2,Search
39338,14,3,25,2,Search
39253,14,3,1,2,Search
39253,12,3,18,2,Search
38071,12,3,12,2,Search
38273,13,3,75,2,Search
37355,13,3,23,2,Search
38731,13,3,63,2,Search
38320,12,3,38,2,Search
34167,12,3,7,2,Search
30972,12,3,83,2,Search
29562,10,2,12,2,Search
